Concept,Status,GA Model,ESD Model,Evaluation Images
van gogh,FAILED,,,10
picasso,SUCCESS,,,21
andy warhol,SUCCESS,,,41
airliner,SUCCESS,,,41
golf ball,SUCCESS,,,41
french horn,SUCCESS,,,41
english springer spaniel,SUCCESS,,,41
garbage truck,SUCCESS,,,41
church,SUCCESS,,,41
